;N°;CODIGO;MZ;LOTE;ETAPA;AREA;UBICACIÓN;PRECIO LISTA;DSCTO POR PRE-VENTA;PRECIO FINAL;INICIAL;;;;;;;;;;;;;;;;
;170;Ñ8;Ñ;8;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;171;Ñ9;Ñ;9;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;172;Ñ10;Ñ;10;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;173;Ñ11;Ñ;11;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;174;Ñ12;Ñ;12;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;175;Ñ13;Ñ;13;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;176;Ñ14;Ñ;14;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;177;Ñ15;Ñ;15;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;178;Ñ16;Ñ;16;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;179;Ñ17;Ñ;17;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;180;Ñ18;Ñ;18;3;200;ESQUINA;S/ 34,000.00;S/ 5,000.00;S/ 29,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;181;O1;O;1;3;200;ESQ. FRENTE A PARQUE;S/ 37,000.00;S/ 5,000.00;S/ 32,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;182;O2;O;2;3;200;FRENTE PARQUE;S/ 32,000.00;S/ 5,000.00;S/ 27,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;183;O3;O;3;3;200;FRENTE PARQUE;S/ 32,000.00;S/ 5,000.00;S/ 27,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;184;O4;O;4;3;200;FRENTE PARQUE;S/ 32,000.00;S/ 5,000.00;S/ 27,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;185;O5;O;5;3;200;FRENTE PARQUE;S/ 32,000.00;S/ 5,000.00;S/ 27,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;186;O6;O;6;3;200;FRENTE PARQUE;S/ 32,000.00;S/ 5,000.00;S/ 27,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;187;O7;O;7;3;200;FRENTE PARQUE;S/ 32,000.00;S/ 5,000.00;S/ 27,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;188;O8;O;8;3;200;FRENTE PARQUE;S/ 32,000.00;S/ 5,000.00;S/ 27,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;189;O9;O;9;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;190;O10;O;10;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;191;O11;O;11;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;192;O12;O;12;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;193;O13;O;13;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;194;O14;O;14;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;195;O15;O;15;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;196;O16;O;16;3;200;FRENTE EDUCACION;S/ 32,000.00;S/ 5,000.00;S/ 27,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;197;O17;O;17;3;200;FRENTE EDUCACION;S/ 32,000.00;S/ 5,000.00;S/ 27,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;198;O18;O;18;3;200;FRENTE EDUCACION;S/ 32,000.00;S/ 5,000.00;S/ 27,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;199;O19;O;19;3;222.94;ESQ. FRENTE EDUCACIÓN;S/ 40,670.40;S/ 5,000.00;S/ 35,670.40;S/ 2,000.00;;;;;;;;;;;;;;;;
;200;P1;P;1;3;202.44;ESQ. FRENTE A PARQUE;S/ 37,390.40;S/ 5,000.00;S/ 32,390.40;S/ 2,000.00;;;;;;;;;;;;;;;;
;201;P2;P;2;3;200.03;FRENTE PARQUE;S/ 32,004.05;S/ 5,000.00;S/ 27,004.05;S/ 2,000.00;;;;;;;;;;;;;;;;
;202;P3;P;3;3;200.03;FRENTE PARQUE;S/ 32,004.05;S/ 5,000.00;S/ 27,004.05;S/ 2,000.00;;;;;;;;;;;;;;;;
;203;P4;P;4;3;200.03;FRENTE PARQUE;S/ 32,004.05;S/ 5,000.00;S/ 27,004.05;S/ 2,000.00;;;;;;;;;;;;;;;;
;204;P5;P;5;3;200.03;FRENTE PARQUE;S/ 32,004.05;S/ 5,000.00;S/ 27,004.05;S/ 2,000.00;;;;;;;;;;;;;;;;
;205;P6;P;6;3;202.44;ESQ. FRENTE A PARQUE;S/ 37,390.40;S/ 5,000.00;S/ 32,390.40;S/ 2,000.00;;;;;;;;;;;;;;;;
;206;P7;P;7;3;219.25;ESTANDAR;S/ 32,406.25;S/ 5,000.00;S/ 27,406.25;S/ 2,000.00;;;;;;;;;;;;;;;;
;207;P8;P;8;3;219.25;ESTANDAR;S/ 32,406.25;S/ 5,000.00;S/ 27,406.25;S/ 2,000.00;;;;;;;;;;;;;;;;
;208;P9;P;9;3;219.25;ESQ.FRENTE EDUCACIÓN;S/ 40,080.00;S/ 5,000.00;S/ 35,080.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;209;P11;P;11;3;219.25;ESQ.FRENTE EDUCACIÓN;S/ 40,080.00;S/ 5,000.00;S/ 35,080.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;210;P12;P;12;3;219.25;ESTANDAR;S/ 32,406.25;S/ 5,000.00;S/ 27,406.25;S/ 2,000.00;;;;;;;;;;;;;;;;
;211;P13;P;13;3;219.25;ESTANDAR;S/ 32,406.25;S/ 5,000.00;S/ 27,406.25;S/ 2,000.00;;;;;;;;;;;;;;;;
;212;Q1;Q;1;3;200;ESQ. FRENTE A PARQUE;S/ 37,000.00;S/ 5,000.00;S/ 32,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;213;Q2;Q;2;3;200;FRENTE PARQUE;S/ 32,000.00;S/ 5,000.00;S/ 27,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;214;Q3;Q;3;3;200;FRENTE PARQUE;S/ 32,000.00;S/ 5,000.00;S/ 27,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;215;Q4;Q;4;3;200;FRENTE PARQUE;S/ 32,000.00;S/ 5,000.00;S/ 27,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;216;Q5;Q;5;3;200;FRENTE PARQUE;S/ 32,000.00;S/ 5,000.00;S/ 27,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;217;Q6;Q;6;3;200;FRENTE PARQUE;S/ 32,000.00;S/ 5,000.00;S/ 27,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;218;Q7;Q;7;3;200;FRENTE PARQUE;S/ 32,000.00;S/ 5,000.00;S/ 27,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;219;Q8;Q;8;3;200;FRENTE PARQUE;S/ 32,000.00;S/ 5,000.00;S/ 27,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;220;Q9;Q;9;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;221;Q10;Q;10;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;222;Q11;Q;11;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;223;Q12;Q;12;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;224;Q13;Q;13;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;225;Q14;Q;14;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;226;Q15;Q;15;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;227;Q16;Q;16;3;200;FRENTE EDUCACION;S/ 32,000.00;S/ 5,000.00;S/ 27,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;228;Q17;Q;17;3;200;FRENTE EDUCACION;S/ 32,000.00;S/ 5,000.00;S/ 27,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;229;Q18;Q;18;3;200;FRENTE EDUCACION;S/ 32,000.00;S/ 5,000.00;S/ 27,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;230;Q19;Q;19;3;200;FRENTE EDUCACION;S/ 32,000.00;S/ 5,000.00;S/ 27,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;231;Q20;Q;20;3;200;FRENTE EDUCACION;S/ 32,000.00;S/ 5,000.00;S/ 27,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;232;Q21;Q;21;3;200;FRENTE EDUCACION;S/ 32,000.00;S/ 5,000.00;S/ 27,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;233;Q22;Q;22;3;200;FRENTE EDUCACION;S/ 32,000.00;S/ 5,000.00;S/ 27,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;234;Q23;Q;23;3;215.77;ESQ. FRENTE A EDUCACIÓN;S/ 39,523.20;S/ 5,000.00;S/ 34,523.20;S/ 2,000.00;;;;;;;;;;;;;;;;
;235;Q24;Q;24;3;218.21;ESTANDAR;S/ 32,276.25;S/ 5,000.00;S/ 27,276.25;S/ 2,000.00;;;;;;;;;;;;;;;;
;236;R1;R;1;3;260.77;ESTANDAR;S/ 37,596.25;S/ 5,000.00;S/ 32,596.25;S/ 2,000.00;;;;;;;;;;;;;;;;
;237;R2;R;2;3;260.70;ESTANDAR;S/ 37,587.50;S/ 5,000.00;S/ 32,587.50;S/ 2,000.00;;;;;;;;;;;;;;;;
;238;R3;R;3;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;239;R4;R;4;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;240;R5;R;5;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;241;R6;R;6;3;200;FRENTE EDUCACION;S/ 32,000.00;S/ 5,000.00;S/ 27,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;242;R7;R;7;3;200;FRENTE EDUCACION;S/ 32,000.00;S/ 5,000.00;S/ 27,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;243;R8;R;8;3;200;FRENTE EDUCACION;S/ 32,000.00;S/ 5,000.00;S/ 27,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;244;R9;R;9;3;200;FRENTE EDUCACION;S/ 32,000.00;S/ 5,000.00;S/ 27,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;245;R10;R;10;3;200;FRENTE EDUCACION;S/ 32,000.00;S/ 5,000.00;S/ 27,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;246;R11;R;11;3;200;FRENTE EDUCACION;S/ 32,000.00;S/ 5,000.00;S/ 27,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;247;R12;R;12;3;200;FRENTE EDUCACION;S/ 32,000.00;S/ 5,000.00;S/ 27,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;248;R13;R;13;3;200;FRENTE EDUCACION;S/ 32,000.00;S/ 5,000.00;S/ 27,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;249;R14;R;14;3;246.85;ESTANDAR;S/ 35,856.25;S/ 5,000.00;S/ 30,856.25;S/ 2,000.00;;;;;;;;;;;;;;;;
;250;R15;R;15;3;246.84;ESTANDAR;S/ 35,855.00;S/ 5,000.00;S/ 30,855.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
